NodeA,NodeB,Weights
111,391,1.0
111,10017,1.0
111,10114,1.0
111,9580,1.0
111,307,1.0
111,9333,1.0
111,9902,1.0
111,9489,1.0
111,9895,1.0
112,918,1.0
112,569,1.0
112,756,1.0
112,762,1.0
112,934,1.0
112,27,1.0
112,747,1.0
112,774,1.0
112,914,1.0
112,399,0.0
113,466,1.0
113,316,1.0
113,693,1.0
113,263,1.0
113,423,1.0
113,930,1.0
113,795,1.0
113,895,0.0
113,364,0.0
113,1716,0.0
114,52,1.0
114,661,1.0
114,13124,1.0
114,143,1.0
114,777,1.0
114,11325,1.0
114,9635,1.0
114,12165,1.0
114,791,0.0
114,10014,0.0
115,9104,1.0
115,4394,1.0
115,4384,1.0
115,5758,1.0
115,5554,1.0
115,3784,1.0
115,4767,1.0
115,5439,1.0
115,652,1.0
115,4540,1.0
116,124,1.0
116,822,1.0
116,694,1.0
116,983,1.0
116,186,1.0
116,181,1.0
116,943,1.0
116,339,1.0
116,120,0.0
116,542,0.0
117,19,1.0
117,736,1.0
117,314,1.0
117,801,1.0
117,9240,1.0
117,147,1.0
117,97,1.0
117,641,1.0
117,933,1.0
117,717,0.0
118,835,1.0
118,614,1.0
118,352,1.0
118,195,1.0
118,469,1.0
118,35,1.0
118,816,1.0
118,49,1.0
118,292,0.0
118,361,0.0
119,9367,1.0
119,4588,1.0
119,332,1.0
119,359,1.0
119,3149,1.0
119,9692,1.0
119,1001,1.0
119,10133,1.0
119,377,1.0
119,808,0.0
120,358,1.0
120,983,1.0
120,694,1.0
120,339,1.0
120,9286,1.0
120,524,1.0
120,9139,1.0
120,9879,1.0
120,217,1.0
120,239,1.0
121,817,1.0
121,6291,1.0
121,738,1.0
121,927,1.0
121,128,1.0
121,471,1.0
121,3375,1.0
121,1947,1.0
121,6943,0.0
121,6860,0.0
122,11971,1.0
122,11114,1.0
122,12892,1.0
122,12000,1.0
122,991,1.0
122,762,1.0
122,2436,1.0
122,11950,0.0
122,11796,0.0
122,12197,0.0
123,340,1.0
123,5458,1.0
123,3154,1.0
123,4604,1.0
123,2844,1.0
123,9253,1.0
123,4238,1.0
123,5206,1.0
123,4142,1.0
123,5073,0.0
124,542,1.0
124,9286,1.0
124,9503,1.0
124,639,1.0
124,9637,1.0
124,186,1.0
124,10067,1.0
124,772,1.0
124,694,0.0
124,9753,0.0
125,173,1.0
125,811,1.0
125,257,1.0
125,439,1.0
125,489,1.0
125,394,1.0
125,9296,1.0
125,438,1.0
125,9081,0.0
125,645,0.0
126,908,1.0
126,11593,1.0
126,12589,1.0
126,633,1.0
126,12422,1.0
126,10856,1.0
126,11407,1.0
126,711,0.0
126,672,0.0
126,11823,0.0
127,996,1.0
127,459,1.0
127,11322,1.0
127,10740,1.0
127,426,1.0
127,9523,1.0
127,149,1.0
127,10394,1.0
127,1030,0.0
127,10730,0.0
128,817,1.0
128,927,1.0
128,738,1.0
128,121,1.0
128,471,1.0
128,6291,1.0
128,1947,1.0
128,795,1.0
128,508,0.0
128,10972,0.0
129,560,1.0
129,748,1.0
129,5854,1.0
129,5383,1.0
129,6005,1.0
129,9261,1.0
129,69,1.0
129,5595,0.0
129,11906,0.0
129,5684,0.0
130,228,1.0
130,521,1.0
130,9536,1.0
130,577,1.0
130,9200,1.0
130,193,1.0
130,291,1.0
130,5452,1.0
130,4931,0.0
130,10109,0.0
131,4894,1.0
131,6755,1.0
131,576,1.0
131,6615,1.0
131,9212,1.0
131,8038,1.0
131,7944,1.0
131,6745,0.0
131,6246,0.0
131,7005,0.0
132,9795,1.0
132,9263,1.0
132,2182,1.0
132,473,1.0
132,184,1.0
132,50,1.0
132,41,1.0
132,330,1.0
132,963,1.0
132,402,0.0
133,11849,1.0
133,12122,1.0
133,12041,1.0
133,11792,1.0
133,11482,1.0
133,12000,1.0
133,10906,1.0
133,12143,1.0
133,11950,1.0
133,913,1.0
134,73,1.0
134,767,1.0
134,250,1.0
134,104,1.0
134,327,1.0
134,623,1.0
134,460,1.0
134,4436,0.0
134,771,0.0
134,93,0.0
135,675,1.0
135,5366,1.0
135,322,1.0
135,40,1.0
135,801,1.0
135,4948,1.0
135,732,1.0
135,8231,0.0
135,9136,0.0
135,717,0.0
136,12506,1.0
136,12267,1.0
136,721,1.0
136,13146,1.0
136,409,1.0
136,12468,1.0
136,11037,1.0
136,12451,1.0
136,9285,1.0
136,10278,0.0
137,501,1.0
137,449,1.0
137,767,1.0
137,12455,1.0
137,623,1.0
137,162,1.0
137,247,1.0
137,1059,1.0
137,11963,0.0
137,460,0.0
138,10494,1.0
138,12614,1.0
138,13098,1.0
138,11139,1.0
138,10754,1.0
138,10598,1.0
138,11658,1.0
138,12807,1.0
138,11176,1.0
138,11008,0.0
139,336,1.0
139,749,1.0
139,822,1.0
139,961,1.0
139,270,1.0
139,186,1.0
139,55,1.0
139,9252,1.0
139,708,1.0
139,9491,0.0
140,74,1.0
140,874,1.0
140,10349,1.0
140,893,1.0
140,11028,1.0
140,568,1.0
140,503,1.0
140,10783,1.0
140,10650,0.0
140,221,0.0
141,773,1.0
141,6,1.0
141,9714,1.0
141,934,1.0
141,914,1.0
141,386,1.0
141,10467,1.0
141,349,1.0
141,756,0.0
141,712,0.0
142,299,1.0
142,5661,1.0
142,480,1.0
142,262,1.0
142,165,1.0
142,5445,1.0
142,630,1.0
142,642,0.0
142,5429,0.0
142,543,0.0
143,11325,1.0
143,13124,1.0
143,10014,1.0
143,9635,1.0
143,12556,1.0
143,11829,1.0
143,777,1.0
143,11202,1.0
143,11495,1.0
143,11291,1.0
144,3889,1.0
144,177,1.0
144,5974,1.0
144,4122,1.0
144,824,1.0
144,4856,1.0
144,9498,1.0
144,9199,1.0
144,4374,0.0
144,4922,0.0
145,9571,1.0
145,964,1.0
145,9507,1.0
145,4128,1.0
145,673,1.0
145,206,1.0
145,3770,1.0
145,2995,1.0
145,9520,0.0
145,1331,0.0
146,7,1.0
146,850,1.0
146,258,1.0
146,380,1.0
146,10125,1.0
146,886,1.0
146,57,1.0
146,551,0.0
146,578,0.0
146,239,0.0
147,801,1.0
147,322,1.0
147,717,1.0
147,328,1.0
147,163,1.0
147,19,1.0
147,314,1.0
147,117,1.0
147,625,0.0
147,101,0.0
148,4642,1.0
148,1848,1.0
148,977,1.0
148,4170,1.0
148,13021,1.0
148,10089,1.0
148,9126,1.0
148,3432,0.0
148,929,0.0
148,312,0.0
149,9285,1.0
149,10915,1.0
149,12009,1.0
149,9521,1.0
149,12083,1.0
149,10730,1.0
149,13074,1.0
149,127,1.0
149,9523,1.0
149,12506,0.0
150,203,1.0
150,9641,1.0
150,3907,1.0
150,306,1.0
150,652,1.0
150,3967,1.0
150,5542,1.0
150,3906,1.0
150,5307,1.0
150,628,0.0
151,202,1.0
151,9772,1.0
151,673,1.0
151,241,1.0
151,5412,1.0
151,4455,1.0
151,4134,1.0
151,5933,0.0
151,6907,0.0
151,492,0.0
152,11287,1.0
152,10573,1.0
152,368,1.0
152,12729,1.0
152,864,1.0
152,96,1.0
152,548,1.0
152,190,1.0
152,13015,0.0
152,815,0.0
153,5265,1.0
153,9299,1.0
153,4549,1.0
153,4072,1.0
153,4366,1.0
153,3951,1.0
153,97,1.0
153,6582,1.0
153,5023,0.0
153,4951,0.0
154,969,1.0
154,69,1.0
154,994,1.0
154,12059,1.0
154,804,1.0
